oldnames,variable,Year,short_varname
16S_NB,16S_NB,2016,16S_NB
Aggregation,Aggregation,2011,Aggregation
Biomass,Biomass,444444,Biomass
Biomass2008,Biomass2008,2008,Biomass
Biomass2009,Biomass2009,2009,Biomass
Biomass2010,Biomass2010,2010,Biomass
Biomass2011,Biomass2011,2011,Biomass
Biomass2012,Biomass2012,2012,Biomass
Biomass2013,Biomass2013,2013,Biomass
Biomass2014,Biomass2014,2014,Biomass
Biomass2015,Biomass2015,2015,Biomass
Biomass2016,Biomass2016,2016,Biomass
Biomass2017,Biomass2017,2017,Biomass
Bulk.density2011,Bulk_density2011,2011,Bulk_density
Bulk.density2014,Bulk_density2014,2014,Bulk_density
DEA,DEA,2011,DEA
DEA.inverted,DEA_inverted,2011,DEA_inverted
Explo,Explo,444444,Explo
Groundwater.recharge,Groundwater_recharge,444444,Groundwater_recharge
Groundwater.recharge2010,Groundwater_recharge2010,2010,Groundwater_recharge
Groundwater.recharge2011,Groundwater_recharge2011,2011,Groundwater_recharge
Groundwater.recharge2012,Groundwater_recharge2012,2012,Groundwater_recharge
Groundwater.recharge2013,Groundwater_recharge2013,2013,Groundwater_recharge
Groundwater.recharge2014,Groundwater_recharge2014,2014,Groundwater_recharge
Groundwater.recharge2015,Groundwater_recharge2015,2015,Groundwater_recharge
Groundwater.recharge2016,Groundwater_recharge2016,2016,Groundwater_recharge
Litter.decomposition,Litter_decomposition,2013,Litter_decomposition
NH4.2014,NH4_2014,2014,NH4
NO3.2014,NO3_2014,2014,NO3
NRI,NRI,2014,NRI
N_Acetyl_beta_Glucosaminidase,N_Acetyl_beta_Glucosaminidase,2011,N_Acetyl_beta_Glucosaminidase
N_leaching_risk2015,N_leaching_risk2015,2015,N_leaching_risk
NaHCO3.Pi,NaHCO3_Pi,2008.5,NaHCO3_Pi
Nmic.2011,Nmic_2011,2011,Nmic
Nmic.2014,Nmic_2014,2014,Nmic
Nshoot.2009,Nshoot_2009,2009,Nshoot
Nshoot.2010,Nshoot_2010,2010,Nshoot
Nshoot.2011,Nshoot_2011,2011,Nshoot
Nshoot.2012,Nshoot_2012,2012,Nshoot
Nshoot.2013,Nshoot_2013,2013,Nshoot
Nshoot.2014,Nshoot_2014,2014,Nshoot
OlsenPi2014,OlsenPi2014,2014,OlsenPi
PRI,PRI,2014,PRI
PRI.2011,PRI_2011,444444,PRI
PRIcomb,PRIcomb,444444,PRIcomb
P_leaching_risk2015,P_leaching_risk2015,2015,P_leaching_risk
P_leaching_risk_comb,P_leaching_risk_comb,444444,P_leaching_risk_comb
P_loss2011,P_loss2011,2011,P_loss
Parasitoid.traps,Parasitoid_traps,2008,Parasitoid_traps
Phosphatase,Phosphatase,2011,Phosphatase
Plot,Plot,444444,Plot
Plotn,Plotn,444444,Plotn
Pmic.2011,Pmic_2011,2011,Pmic
Pmic.2014,Pmic_2014,2014,Pmic
Potential.nitrification,Potential_nitrification,444444,Potential_nitrification
Potential.nitrification2011,Potential_nitrification2011,2011,Potential_nitrification
Potential.nitrification2014,Potential_nitrification2014,2014,Potential_nitrification
Pshoot.2009,Pshoot_2009,2009,Pshoot
Pshoot.2010,Pshoot_2010,2010,Pshoot
Pshoot.2011,Pshoot_2011,2011,Pshoot
Pshoot.2012,Pshoot_2012,2012,Pshoot
Pshoot.2013,Pshoot_2013,2013,Pshoot
Pshoot.2014,Pshoot_2014,2014,Pshoot
Root.biomass,Root_biomass,2011,Root_biomass
Root.decomposition,Root_decomposition,2012,Root_decomposition
Soil.C.stock,Soil_C_stock,2011,Soil_C_stock
SoilOrganicC,SoilOrganicC,2011,SoilOrganicC
Total.pollinators,Total_pollinators,2008,Total_pollinators
Urease,Urease,2011,Urease
Xylosidase,Xylosidase,2011,Xylosidase
amoA_AOA.2011,amoA_AOA_2011,2011,amoA_AOA
amoA_AOA.2016,amoA_AOA_2016,2016,amoA_AOA
amoA_AOB.2011,amoA_AOB_2011,2011,amoA_AOB
amoA_AOB.2016,amoA_AOB_2016,2016,amoA_AOB
beta_Glucosidase,beta_Glucosidase,2011,beta_Glucosidase
caterpillars.predation,caterpillars_predation,2017,caterpillars_predation
dung.removal,dung_removal,2014,dung_removal
dung.removal2017,dung_removal2017,2017,dung_removal
herbivory.2013,herbivory_2013,2013,herbivory
herbivory.20172018,herbivory_20172018,444444,herbivory
mAMFhyphae,mAMFhyphae,2011,mAMFhyphae
nifH,nifH,2011,nifH
nxrA_NS,nxrA_NS,2016,nxrA_NS
pathogen.infection,pathogen_infection,2011,pathogen_infection
seed.depletion,seed_depletion,2017,seed_depletion
soilAmmoniaflxs,soilAmmoniaflxs,444444,soilAmmoniaflxs
soilCflxs,soilCflxs,2011,soilCflxs
soilNitrateflxs,soilNitrateflxs,444444,soilNitrateflxs
